brand,name,bodyType,color,fuelType,year,mileage,transmission,power,price,vehicleConfiguration,engineName,engineDisplacement,date,location,link,description,parse_date
Opel,Vectra,Универсал,Черный,Дизель,1997.0,345000.0,Механика,100.0,220000,2.0 TDI MT GL,X20DTH,2.0 LTR,2023-04-06 00:00:00,Майкоп,https://maykop.drom.ru/opel/vectra/49129587.html,На ходу. Не гнилой. Вопросы по телефону. Торг присутствует.,2023-05-02 18:00:00
Nissan,Qashqai,Джип 5 дв.,Коричневый,Бензин,2010.0,148000.0,Вариатор,141.0,900000,2.0 CVT SE+,MR20DE,2.0 LTR,2023-04-06 00:00:00,Майкоп,https://maykop.drom.ru/nissan/qashqai/48104326.html,"состояние отличное, не требует вложений, сел поехал, довезёт хоть на край земли, в машине не курили,не матюкались) уход стабильный, ржавчин жучков нет, пороги, дно абсолютно целые. торг реальному покупателю",2023-05-02 18:00:00
Mazda,Mazda6,Седан,Синий,Бензин,2007.0,250000.0,Механика,120.0,480000,1.8 MT Exclusive,L813,1.8 LTR,2023-04-06 00:00:00,Майкоп,https://maykop.drom.ru/mazda/mazda6/49707020.html,"Продам машину в хорошем состоянии. По двигателю и коробке нареканий нет.По кузову есть пару не больших жучков, не критично. Есть всё для комфортного вождения. Датчик света и дождя, круиз-контроль, климат-контроль двух -зонный, кнопка-старт,мультируль, сигнализация с автозапуском, стоит хорошая музыка, голова андройд. Есть минус нужно делать рейку, на это скину. Полетел датчик угла поворота. Торг на рейку.",2023-05-03 21:00:00
Лада,2115 Самара,Седан,Серебристый,Бензин,2007.0,70000.0,Механика,81.0,190000,1.6 MT 21154-22-010,ВАЗ-21114,1.6 LTR,2023-04-06 00:00:00,Яблоновский,https://yablonovskiy.drom.ru/lada/2115/49708466.html,Авто все родное комплектация с рекаровскими сиденьями есть на 2 х крыльях рыжики не делаю чтоб потом не говорили что крашеный,2023-05-02 18:00:00
Nissan,Teana,Седан,Золотистый,Бензин,2006.0,187000.0,АКПП,173.0,530000,2.3 AT Luxury,VQ23DE,2.3 LTR,2023-04-07 00:00:00,Яблоновский,https://yablonovskiy.drom.ru/nissan/teana/48927764.html,"на уверенном ходу, всё работает, без обмена",2023-05-01 22:00:00
Toyota,Camry,Седан,Черный,Бензин,2012.0,200000.0,АКПП,249.0,1450000,3.5 6AT Lux,2GR-FE,3.5 LTR,2023-04-07 00:00:00,Майкоп,https://maykop.drom.ru/toyota/camry/50443808.html,"Продается авто Тойота Камри в максимальной комплектации, 2 хозяина. Двойные передние стекла (с тонировкой и без), передние тормозные механизмы от лексус, сигнализация с автозапуском, замок на коробку, два комплекта резины зима/лето. Продаю пока продается интересующий меня авто.",2023-05-01 22:00:00
Toyota,Corolla,Хэтчбек 5 дв.,Синий,Бензин,2004.0,280000.0,Механика,97.0,420000,1.4 MT Sol,4ZZ-FE,1.4 LTR,2023-04-07 00:00:00,Майкоп,https://maykop.drom.ru/toyota/corolla/50448638.html,"Продам Тойоту в хорошем техническом состоянии. Масло не ест , от замены до замены, без проблем. Новая летняя резина. Я собственник. Причина продажи , покупка нового авто.",2023-05-03 10:00:00
BMW,7-Series,Седан,Синий,Бензин,2003.0,239000.0,АКПП,445.0,810000,760i AT,N73B60,6.0 LTR,2023-04-07 00:00:00,Майкоп,https://maykop.drom.ru/bmw/7-series/49724840.html,В ХОРОШЕМ СОСТОЯНИИ. 760i не лонг индивидуал. ДискиR20 покрышки хорошие почти новые зимы нет. Ценна 760 тыс торг не большой виска муфта новая вод помпа новая акпп массло поменял. Не пинает не дергает ход отлично. ни каких б. У запчастей. Машина вид имеет просто. кому дорого. Купите солярис. Или приору.НЕ АРЕСТ И НЕ ЗАЛОГ.,2023-05-06 12:00:00
Лада,2106,Седан,Бежевый,Бензин,1979.0,55000.0,Механика,64.0,105000,1.3 MT 21063,ВАЗ-21011,1.3 LTR,2023-04-07 00:00:00,Майкоп,https://maykop.drom.ru/lada/2106/50062675.html,"Продам ваз 2106 В хорошем состоянии Дно живое По кузову есть косяки, машина не новая Ховая сбита, не гремит не стучит Салон чистый приятный Мотор, коробка идеал (коробка 4 ступка) С доками полный порядок Возможна продажа на сликах, цена на 45к дороже Все вопросы по телефону Возможен обмен Торг",2023-05-06 12:00:00
Mercedes-Benz,GLS-Class,Джип 5 дв.,Черный,Дизель,2016.0,85000.0,АКПП,249.0,6000000,350 d 4MATIC Особая серия,OM 642 LS DE 30 LA,3.0 LTR,2023-04-08 00:00:00,Майкоп,https://maykop.drom.ru/mercedes-benz/gls-class/50077523.html,"Не битая,не попадала в аварию Полная комплектация",2023-05-03 13:00:00
